z,A,R_tilde,K_tilde,det_g
0.0,1.0,18237.613981,93551694.301315,-2.0
1.001,0.9999004025,40311.02892,621642865.052257,-0.031196756882923
2.002,0.9998017971,82347.519218,4283632945.321771,-0.002739599155087
3.003,0.9997041642,164208.564232,21437958455.548393,-0.000487970276534
4.004,0.9996074849,299529.895853,78534064885.80272,-0.000128042861651
5.005,0.9995117409,501569.729932,230115987871.41614,-4.2926936255e-05
6.006,0.9994169144,783624.858652,574056046345.9614,-1.7042468559e-05
7.007,0.999322988,1159020.999276,1270004939156.9905,-7.65731041e-06
8.008,0.9992299448,1641096.934115,2561007839307.0835,-3.781494866e-06
9.009,0.9991377685,2243196.395188,4798233584314.547,-2.01198564e-06
10.01,0.9990464432,2978663.640105,8468766003913.644,-1.137043422e-06
11.011,0.9989559533,3860840.639046,14226408478565.473,-6.75390079e-07
12.012,0.9988662838,4903065.018004,22925454762733.17,-4.18302897e-07
13.013,0.9987774201,6118668.398392,35657380943979.164,-2.68466955e-07
14.014,0.9986893478,7520974.9714,53790415153471.125,-1.77671742e-07
15.015,0.998602053,9123300.229106,79011943302734.48,-1.20767858e-07
16.016,0.9985155223,10938949.81172,113373710701064.16,-8.4039086e-08
17.017,0.9984297423,12981218.448026,159339780912760.88,-5.9709232e-08
18.018,0.9983447003,15263388.974985,219837214647639.56,-4.3216991e-08
19.019,0.9982603837,17798731.427148,298309432846070.25,-3.1804869e-08
20.02,0.9981767803,20600502.189138,398772229424915.6,-2.3760362e-08
21.021,0.9980938782,23681943.205983,525872400396614.06,-1.7993916e-08
22.022,0.9980116659,27056281.247074,684948957263588.6,-1.3797024e-08
23.023,0.9979301318,30736727.220121,882096893727100.9,-1.0699741e-08
24.024,0.9978492651,34736475.53189,1124233475836648.5,-8.384683e-09
25.025,0.997769055,39068703.492924,1419167026745717.2,-6.633919e-09
26.026,0.9976894908,43746570.763599,1775668178234128.5,-5.295523e-09
27.027,0.9976105624,48783218.839102,2203543562109749.2,-4.262085e-09
28.028,0.9975322597,54191770.571146,2713711915514386.5,-3.456677e-09
29.029,0.9974545729,59985329.724315,3318282575032008.0,-2.823536e-09
30.03,0.9973774924,66176980.565065,4030636335335575.5,-2.321788e-09
31.031,0.997301009,72779787.481624,4865508648911871.0,-1.921154e-09
32.032,0.9972251134,79806794.632995,5839075144173540.0,-1.598989e-09
33.033,0.9971497968,87271025.625499,6969039440008644.0,-1.338198e-09
34.034,0.9970750504,95185483.215301,8274723235525917.0,-1.125766e-09
35.035,0.9970008656,103563149.035474,9777158654438526.0,-9.51704e-10
36.036,0.9969272343,112416983.346332,1.1499182824181922e+16,-8.08285e-10
37.037,0.9968541481,121759924.807574,1.3465534670493036e+16,-6.89491e-10
38.038,0.9967815992,131604890.271211,1.570295390878395e+16,-5.90604e-10
39.039,0.9967095797,141964774.594023,1.8240282214223976e+16,-5.07897e-10
40.04,0.996638082,152852450.468501,2.1108566553008148e+16,-4.38411e-10
41.041,0.9965670986,164280768.271178,2.43411646578261e+16,-3.79783e-10
42.042,0.9964966222,176262555.927595,2.7973852631070864e+16,-3.30115e-10
43.043,0.9964266457,188810618.792732,3.2044934659819692e+16,-2.87874e-10
44.044,0.996357162,201937739.54606,3.659535482711064e+16,-2.51817e-10
45.045,0.9962881643,215656678.100672,4.166881100449997e+16,-2.20928e-10
46.046,0.9962196459,229980171.525378,4.731187081133141e+16,-1.94378e-10
47.047,0.9961516002,244920933.979321,5.357408962658849e+16,-1.71483e-10
48.048,0.9960840207,260491656.658022,6.05081306396076e+16,-1.51679e-10
49.049,0.9960169011,276705007.750669,6.816988692635201e+16,-1.34497e-10
50.0501,0.9959502353,293573632.407901,7.661860553831131e+16,-1.19547e-10
51.0511,0.9958840172,311110152.718881,8.591701359148464e+16,-1.06504e-10
52.0521,0.9958182408,329327167.698401,9.613144634327707e+16,-9.5094e-11
53.0531,0.9957529003,348237253.282126,1.0733197724544888e+17,-8.5088e-11
54.0541,0.99568799,367852962.32997,1.1959254996165658e+17,-7.6292e-11
55.0551,0.9956235043,388186824.637797,1.3299111233840779e+17,-6.854e-11
56.0561,0.9955594377,409251346.955927,1.4760975231858086e+17,-6.1694e-11
57.0571,0.9954957848,431059013.01518,1.6353483578698867e+17,-5.5633e-11
58.0581,0.9954325404,453622283.558067,1.8085714633769568e+17,-5.0258e-11
59.0591,0.9953696992,476953596.377103,1.9967202695322336e+17,-4.548e-11
60.0601,0.9953072561,501065366.359099,2.2007952358588723e+17,-4.1225e-11
61.0611,0.9952452063,525969985.534134,2.4218453063190653e+17,-3.7428e-11
62.0621,0.9951835447,551679823.129643,2.6609693828911392e+17,-3.4034e-11
63.0631,0.9951222667,578207225.62939,2.91931781789419e+17,-3.0994e-11
64.0641,0.9950613673,605564516.836918,3.198093924973386e+17,-2.8267e-11
65.0651,0.9950008422,633763997.943381,3.4985555086624435e+17,-2.5816e-11
66.0661,0.9949406865,662817947.598971,3.8220164124407866e+17,-2.3611e-11
67.0671,0.9948808961,692738621.98763,4.169848085206614e+17,-2.1622e-11
68.0681,0.9948214663,723538254.906719,4.5434811660885485e+17,-1.9827e-11
69.0691,0.994762393,755229057.847677,4.944407087519666e+17,-1.8204e-11
70.0701,0.9947036718,787823220.080773,5.3741796965023123e+17,-1.6733e-11
71.0711,0.9946452988,821332908.743629,5.834416893991768e+17,-1.54e-11
72.0721,0.9945872696,855770268.931309,6.32680229232937e+17,-1.419e-11
73.0731,0.9945295805,891147423.78772,6.853086890657303e+17,-1.3089e-11
74.0741,0.9944722273,927476474.600545,7.41509076825148e+17,-1.2087e-11
75.0751,0.9944152063,964769500.900594,8.014704795707823e+17,-1.1174e-11
76.0761,0.9943585136,1003038560.556966,8.653892363916699e+17,-1.034e-11
77.0771,0.9943021455,1042295689.878475,9.334691130771855e+17,-9.578e-12
78.0781,0.9942460984,1082552903.71954,1.0059214785551086e+18,-8.881e-12
79.0791,0.9941903685,1123822195.579094,1.0829654830907804e+18,-8.242e-12
80.0801,0.9941349524,1166115537.706521,1.1648282382426732e+18,-7.657e-12
81.0811,0.9940798465,1209444881.210916,1.2517449985684324e+18,-7.12e-12
82.0821,0.9940250475,1253822156.166741,1.3439593450759795e+18,-6.626e-12
83.0831,0.9939705518,1299259271.720492,1.441723370414807e+18,-6.172e-12
84.0841,0.9939163563,1345768116.202055,1.545297865802744e+18,-5.754e-12
85.0851,0.9938624576,1393360557.237222,1.6549525096829637e+18,-5.368e-12
86.0861,0.9938088525,1442048441.854629,1.770966058106224e+18,-5.013e-12
87.0871,0.9937555379,1491843596.598415,1.8936265368346644e+18,-4.685e-12
88.0881,0.9937025106,1542757827.641688,2.0232314351620047e+18,-4.381e-12
89.0891,0.9936497676,1594802920.899876,2.1600879014461578e+18,-4.101e-12
90.0901,0.9935973058,1647990642.143994,2.3045129403495813e+18,-3.841e-12
91.0911,0.9935451224,1702332737.111519,2.456833611783586e+18,-3.6e-12
92.0921,0.9934932142,1757840931.621876,2.617387231552844e+18,-3.377e-12
93.0931,0.9934415786,1814526931.69089,2.7865215736958853e+18,-3.169e-12
94.0941,0.9933902126,1872402423.646736,2.964595074518013e+18,-2.977e-12
95.0951,0.9933391135,1931479074.243134,3.151977038312442e+18,-2.798e-12
96.0961,0.9932882785,1991768530.771739,3.349047844766615e+18,-2.631e-12
97.0971,0.9932377049,2053282421.178556,3.556199158050412e+18,-2.476e-12
98.0981,0.9931873901,2116032354.17885,3.7738341375824824e+18,-2.332e-12
99.0991,0.9931373314,2180029919.372087,4.002367650471463e+18,-2.197e-12
100.1001,0.9930875263,2245286687.355507,4.2422264856288676e+18,-2.071e-12
101.1011,0.9930379721,2311814209.839173,4.493849569550896e+18,-1.954e-12
102.1021,0.9929886665,2379624019.755877,4.757688183765114e+18,-1.844e-12
103.1031,0.9929396069,2448727631.379295,5.034206183941512e+18,-1.742e-12
104.1041,0.9928907909,2519136540.443594,5.32388022066299e+18,-1.646e-12
105.1051,0.9928422161,2590862224.241329,5.627199961850269e+18,-1.556e-12
106.1061,0.9927938802,2663916141.74776,5.944668316846123e+18,-1.472e-12
107.1071,0.9927457808,2738309733.735469,6.276801662148259e+18,-1.393e-12
108.1081,0.9926979156,2814054422.870466,6.624130068790601e+18,-1.319e-12
109.1091,0.9926502824,2891161613.845636,6.987197531377072e+18,-1.25e-12
110.1101,0.992602879,2969642693.489001,7.366562198754647e+18,-1.185e-12
111.1111,0.992555703,3049509030.85132,7.762796606327028e+18,-1.124e-12
112.1121,0.9925087525,3130771977.339758,8.176487910016472e+18,-1.066e-12
113.1131,0.9924620253,3213442866.830177,8.608238121857873e+18,-1.012e-12
114.1141,0.9924155191,3297533015.758198,9.058664347227055e+18,-9.61e-13
115.1151,0.9923692321,3383053723.247523,9.528399023709321e+18,-9.13e-13
116.1161,0.9923231621,3470016271.202323,1.001809016159192e+19,-8.68e-13
117.1171,0.9922773071,3558431924.426126,1.0528401585994568e+19,-8.25e-13
118.1181,0.9922316651,3648311930.735497,1.1060013180623665e+19,-7.85e-13
119.1191,0.9921862342,3739667521.035507,1.1613621133147711e+19,-7.47e-13
120.1201,0.9921410125,3832509909.473213,1.2189938182214787e+19,-7.12e-13
121.1211,0.992095998,3926850293.514459,1.278969386607148e+19,-6.78e-13
122.1221,0.9920511888,4022699854.036458,1.3413634772814152e+19,-6.46e-13
123.1231,0.9920065831,4120069755.46757,1.406252479226552e+19,-6.16e-13
124.1241,0.9919621791,4218971145.868345,1.473714536945801e+19,-5.87e-13
125.1251,0.9919179749,4319415157.049332,1.5438295759743658e+19,-5.6e-13
126.1261,0.9918739688,4421412904.651425,1.6166793285508037e+19,-5.35e-13
127.1271,0.991830159,4524975488.265276,1.6923473594513326e+19,-5.1e-13
128.1281,0.9917865438,4630113991.539858,1.7709190919845607e+19,-4.87e-13
129.1291,0.9917431214,4736839482.261934,1.852481834147152e+19,-4.66e-13
130.1301,0.9916998902,4845163012.476336,1.937124804941391e+19,-4.45e-13
131.1311,0.9916568486,4955095618.579588,2.024939160853077e+19,-4.26e-13
132.1321,0.9916139948,5066648321.417464,2.1160180224903254e+19,-4.07e-13
133.1331,0.9915713272,5179832126.361557,2.2104565013825077e+19,-3.89e-13
134.1341,0.9915288443,5294658023.440936,2.3083517269417955e+19,-3.73e-13
135.1351,0.9914865444,5411136987.462381,2.409802873584427e+19,-3.57e-13
136.1361,0.991444426,5529279978.032458,2.51491118800932e+19,-3.42e-13
137.1371,0.9914024876,5649097939.674548,2.6237800166409806e+19,-3.27e-13
138.1381,0.9913607275,5770601801.992235,2.736514833233364e+19,-3.14e-13
139.1391,0.9913191444,5893802479.69733,2.8532232666294325e+19,-3.01e-13
140.1401,0.9912777367,6018710872.697205,2.9740151286834844e+19,-2.88e-13
141.1411,0.991236503,6145337866.234612,3.099002442345054e+19,-2.77e-13
142.1421,0.9911954418,6273694330.960582,3.2282994699002253e+19,-2.65e-13
143.1431,0.9911545517,6403791123.00927,3.3620227413733134e+19,-2.55e-13
144.1441,0.9911138313,6535639084.097274,3.5002910830891966e+19,-2.44e-13
145.1451,0.9910732791,6669249041.621555,3.6432256463955493e+19,-2.35e-13
146.1461,0.9910328938,6804631808.784419,3.790949936545876e+19,-2.25e-13
147.1471,0.9909926741,6941798184.616485,3.943589841737616e+19,-2.17e-13
148.1481,0.9909526186,7080758954.068791,4.10127366231395e+19,-2.08e-13
149.1491,0.9909127259,7221524888.167262,4.264132140127096e+19,-2e-13
150.1502,0.9908729948,7364106744.061609,4.432298488056484e+19,-1.92e-13
151.1512,0.9908334239,7508515265.088724,4.6059084196877255e+19,-1.85e-13
152.1522,0.990794012,7654761180.883109,4.785100179152956e+19,-1.78e-13
153.1532,0.9907547578,7802855207.480782,4.970014571130588e+19,-1.71e-13
154.1542,0.9907156601,7952808047.367202,5.160794991001257e+19,-1.65e-13
155.1552,0.9906767176,8104630389.563702,5.357587455166253e+19,-1.59e-13
156.1562,0.9906379291,8258332909.761028,5.56054063152673e+19,-1.53e-13
157.1572,0.9905992933,8413926270.343849,5.769805870117063e+19,-1.47e-13
158.1582,0.9905608092,8571421120.488954,5.985537233901896e+19,-1.42e-13
159.1592,0.9905224755,8730828096.268404,6.20789152973236e+19,-1.37e-13
160.1602,0.9904842911,8892157820.741947,6.437028339461397e+19,-1.32e-13
161.1612,0.9904462547,9055420903.952436,6.673110051212297e+19,-1.27e-13
162.1622,0.9904083653,9220627943.088198,6.916301890818372e+19,-1.23e-13
163.1632,0.9903706218,9387789522.588272,7.166771953415398e+19,-1.18e-13
164.1642,0.990333023,9556916214.077213,7.42469123518584e+19,-1.14e-13
165.1652,0.9902955678,9728018576.630579,7.690233665282718e+19,-1.1e-13
166.1662,0.9902582551,9901107156.733253,7.963576137890493e+19,-1.06e-13
167.1672,0.9902210839,10076192488.333517,8.24489854445659e+19,-1.03e-13
168.1682,0.9901840531,10253285093.029072,8.534383806086332e+19,-9.9e-14
169.1692,0.9901471616,10432395480.042463,8.83221790608591e+19,-9.6e-14
170.1702,0.9901104085,10613534146.38878,9.138589922677427e+19,-9.2e-14
171.1712,0.9900737926,10796711576.864353,9.453692061859548e+19,-8.9e-14
172.1722,0.990037313,10981938244.126453,9.777719690437096e+19,-8.6e-14
173.1732,0.9900009686,11169224608.841463,1.0110871369211919e+20,-8.3e-14
174.1742,0.9899647586,11358581119.685383,1.0453348886324571e+20,-8.1e-14
175.1752,0.9899286817,11550018213.448116,1.080535729076245e+20,-7.8e-14
176.1762,0.9898927372,11743546315.13511,1.1167104926027882e+20,-7.5e-14
177.1772,0.9898569241,11939175837.97887,1.1538803463957622e+20,-7.3e-14
178.1782,0.9898212413,12136917183.468367,1.1920667938705613e+20,-7.1e-14
179.1792,0.989785688,12336780741.563599,1.2312916780899051e+20,-6.8e-14
180.1802,0.9897502632,12538776890.657913,1.2715771851932393e+20,-6.6e-14
181.1812,0.989714966,12742915997.704948,1.3129458478438235e+20,-6.4e-14
182.1822,0.9896797954,12949208418.264101,1.355420548690651e+20,-6.2e-14
183.1832,0.9896447507,13157664496.44108,1.399024523845918e+20,-6e-14
184.1842,0.9896098309,13368294565.248499,1.4437813663820312e+20,-5.8e-14
185.1852,0.989575035,13581108946.43228,1.4897150298393418e+20,-5.6e-14
186.1862,0.9895403623,13796117950.468523,1.5368498317524537e+20,-5.5e-14
187.1872,0.9895058119,14013331877.005875,1.5852104571957815e+20,-5.3e-14
188.1882,0.9894713829,14232761014.630056,1.6348219623388663e+20,-5.1e-14
189.1892,0.9894370745,14454415640.814629,1.6857097780199817e+20,-5e-14
190.1902,0.9894028858,14678306022.289404,1.7378997133395385e+20,-4.8e-14
191.1912,0.989368816,14904442415.105553,1.791417959266234e+20,-4.7e-14
192.1922,0.9893348643,15132835064.375582,1.846291092256266e+20,-4.5e-14
193.1932,0.9893010298,15363494204.54706,1.9025460778944165e+20,-4.4e-14
194.1942,0.9892673119,15596430059.584328,1.96021027454936e+20,-4.3e-14
195.1952,0.9892337096,15831652842.767235,2.0193114370416643e+20,-4.1e-14
196.1962,0.9892002222,16069172756.92888,2.0798777203324718e+20,-4e-14
197.1972,0.9891668489,16308999994.531895,2.141937683226168e+20,-3.9e-14
198.1982,0.9891335889,16551144737.536617,2.2055202920871012e+20,-3.8e-14
199.1992,0.9891004415,16795617157.634256,2.2706549245766654e+20,-3.7e-14
200.2002,0.989067406,17042427416.37149,2.337371373404682e+20,-3.6e-14
201.2012,0.9890344815,17291585665.013557,2.405699850094278e+20,-3.5e-14
202.2022,0.9890016673,17543102044.597565,2.475670988765076e+20,-3.4e-14
203.2032,0.9889689627,17796986686.219727,2.54731584993537e+20,-3.3e-14
204.2042,0.988936367,18053249711.077812,2.6206659243369107e+20,-3.2e-14
205.2052,0.9889038795,18311901230.074104,2.695753136740912e+20,-3.1e-14
206.2062,0.9888714994,18572951344.33342,2.7726098498121853e+20,-3e-14
207.2072,0.988839226,18836410145.394825,2.851268867973765e+20,-2.9e-14
208.2082,0.9888070587,19102287714.72368,2.931763441280038e+20,-2.8e-14
209.2092,0.9887749967,19370594124.00196,3.014127269316459e+20,-2.8e-14
210.2102,0.9887430393,19641339435.549698,3.0983945051163564e+20,-2.7e-14
211.2112,0.988711186,19914533701.77455,3.1845997590807183e+20,-2.6e-14
212.2122,0.9886794359,20190186965.531193,3.272778102928292e+20,-2.5e-14
213.2132,0.9886477886,20468309260.416607,3.362965073658568e+20,-2.5e-14
214.2142,0.9886162432,20748910610.19619,3.4551966775203555e+20,-2.4e-14
215.2152,0.9885847991,21032001029.48608,3.5495093940148666e+20,-2.3e-14
216.2162,0.9885534557,21317590523.629646,3.645940179901136e+20,-2.3e-14
217.2172,0.9885222124,21605689088.354084,3.744526473217168e+20,-2.2e-14
218.2182,0.9884910685,21896306710.288124,3.845306197328458e+20,-2.2e-14
219.2192,0.9884600234,22189453366.88309,3.948317764984237e+20,-2.1e-14
220.2202,0.9884290764,22485139026.43847,4.0536000823915885e+20,-2e-14
221.2212,0.9883982271,22783373648.22877,4.161192553307479e+20,-2e-14
222.2222,0.9883674746,23084167182.38459,4.271135083142779e+20,-1.9e-14
223.2232,0.9883368185,23387529569.92407,4.383468083085908e+20,-1.9e-14
224.2242,0.9883062581,23693470743.20019,4.4982324742487527e+20,-1.8e-14
225.2252,0.9882757929,24002000625.435402,4.6154696918135085e+20,-1.8e-14
226.2262,0.9882454222,24313129130.98011,4.7352216892098144e+20,-1.7e-14
227.2272,0.9882151456,24626866165.7899,4.8575309423095166e+20,-1.7e-14
228.2282,0.9881849623,24943221626.72017,4.982440453618623e+20,-1.7e-14
229.2292,0.9881548718,25262205401.696228,5.109993756501726e+20,-1.6e-14
230.2302,0.9881248736,25583827370.43409,5.240234919431441e+20,-1.6e-14
231.2312,0.9880949671,25908097404.132923,5.373208550235091e+20,-1.5e-14
232.2322,0.9880651518,26235025364.87574,5.508959800354143e+20,-1.5e-14
233.2332,0.988035427,26564621106.46431,5.6475343691465746e+20,-1.5e-14
234.2342,0.9880057923,26896894474.652287,5.7889785081921405e+20,-1.4e-14
235.2352,0.9879762471,27231855306.24259,5.933339025594278e+20,-1.4e-14
236.2362,0.9879467908,27569513429.730984,6.080663290329437e+20,-1.4e-14
237.2372,0.987917423,27909878665.580772,6.23099923660211e+20,-1.3e-14
238.2382,0.9878881431,28252960825.75597,6.38439536820503e+20,-1.3e-14
239.2392,0.9878589506,28598769714.092148,6.540900762910863e+20,-1.3e-14
240.2402,0.987829845,28947315126.03813,6.700565076868002e+20,-1.2e-14
241.2412,0.9878008257,29298606848.90649,6.863438549024075e+20,-1.2e-14
242.2422,0.9877718923,29652654662.194633,7.029572005566032e+20,-1.2e-14
243.2432,0.9877430442,30009468337.19196,7.199016864362413e+20,-1.1e-14
244.2442,0.987714281,30369057636.855583,7.371825139428458e+20,-1.1e-14
245.2452,0.9876856021,30731432316.47415,7.54804944542457e+20,-1.1e-14
246.2462,0.9876570071,31096602123.69975,7.727743002156069e+20,-1.1e-14
247.2472,0.9876284955,31464576797.73753,7.910959639072242e+20,-1e-14
248.2482,0.9876000667,31835366069.918415,8.097753799814444e+20,-1e-14
249.2492,0.9875717204,32208979664.32639,8.288180546778508e+20,-1e-14
250.2503,0.987543456,32585427296.883133,8.482295565660291e+20,-1e-14
251.2513,0.987515273,32964718675.60595,8.680155170046495e+20,-9e-15
252.2523,0.9874871711,33346863501.357536,8.881816306031297e+20,-9e-15
253.2533,0.9874591497,33731871466.95289,9.087336556810434e+20,-9e-15
254.2543,0.9874312084,34119752257.534035,9.29677414732628e+20,-9e-15
255.2553,0.9874033467,34510515551.27808,9.510187948932441e+20,-9e-15
256.2563,0.9873755642,34904171018.07512,9.72763748402778e+20,-8e-15
257.2573,0.9873478604,35300728320.65027,9.94918293077063e+20,-8e-15
258.2583,0.987320235,35700197114.50358,1.017488512777295e+21,-8e-15
259.2593,0.9872926873,36102587047.298065,1.0404805578804874e+21,-8e-15
260.2603,0.9872652171,36507907759.675766,1.063900645754755e+21,-8e-15
261.2613,0.9872378239,36916168884.89851,1.0877550612334125e+21,-8e-15
262.2623,0.9872105072,37327380048.79126,1.1120501570915402e+21,-7e-15
263.2633,0.9871832667,37741550869.72322,1.136792354524304e+21,-7e-15
264.2643,0.9871561018,38158690959.435684,1.1619881436293632e+21,-7e-15
265.2653,0.9871290123,38578809922.28502,1.1876440838861824e+21,-7e-15
266.2663,0.9871019976,39001917354.76096,1.2137668046385355e+21,-7e-15
267.2673,0.9870750574,39428022847.282745,1.2403630055845095e+21,-7e-15
268.2683,0.9870481912,39857135982.82286,1.2674394572590775e+21,-6e-15
269.2693,0.9870213987,40289266336.97665,1.2950030015232887e+21,-6e-15
270.2703,0.9869946795,40724423478.92672,1.3230605520568202e+21,-6e-15
271.2713,0.9869680331,41162616970.28522,1.351619094846556e+21,-6e-15
272.2723,0.9869414592,41603856366.05086,1.380685688683141e+21,-6e-15
273.2733,0.9869149574,42048151214.439514,1.410267465655356e+21,-6e-15
274.2743,0.9868885272,42495511056.64078,1.4403716316466462e+21,-6e-15
275.2753,0.9868621683,42945945427.29918,1.4710054668349593e+21,-6e-15
276.2763,0.9868358804,43399463853.934204,1.5021763261913865e+21,-5e-15
277.2773,0.986809663,43856075856.84286,1.5338916399818736e+21,-5e-15
278.2783,0.9867835157,44315790950.59895,1.5661589142758912e+21,-5e-15
279.2793,0.9867574383,44778618643.13837,1.5989857314482954e+21,-5e-15
280.2803,0.9867314302,45244568434.57642,1.6323797506832668e+21,-5e-15
281.2813,0.9867054912,45713649819.17736,1.666348708489426e+21,-5e-15
282.2823,0.9866796209,46185872285.18248,1.700900419209557e+21,-5e-15
283.2833,0.986653819,46661245313.198364,1.7360427755274916e+21,-5e-15
284.2843,0.986628085,47139778377.087135,1.7717837489855107e+21,-5e-15
285.2853,0.9866024186,47621480945.96123,1.8081313905064139e+21,-5e-15
286.2863,0.9865768195,48106362481.34161,1.8450938309007209e+21,-4e-15
287.2873,0.9865512873,48594432437.7624,1.8826792813888222e+21,-4e-15
288.2883,0.9865258216,49085700264.41599,1.9208960341267647e+21,-4e-15
289.2893,0.9865004222,49580175403.36336,1.9597524627226716e+21,-4e-15
290.2903,0.9864750886,50077867291.05933,1.9992570227666536e+21,-4e-15
291.2913,0.9864498206,50578785357.6199,2.0394182523535208e+21,-4e-15
292.2923,0.9864246178,51082939025.820465,2.0802447726073754e+21,-4e-15
293.2933,0.9863994799,51590337713.23984,2.121745288218861e+21,-4e-15
294.2943,0.9863744065,52100990831.43139,2.1639285879727136e+21,-4e-15
295.2953,0.9863493973,52614907784.696526,2.2068035452764236e+21,-4e-15
296.2963,0.986324452,53132097971.96459,2.2503791187020439e+21,-4e-15
297.2973,0.9862995703,53652570786.387314,2.2946643525204325e+21,-4e-15
298.2983,0.9862747517,54176335613.777504,2.3396683772335541e+21,-3e-15
299.2993,0.9862499961,54703401835.080826,2.385400410124283e+21,-3e-15
300.3003,0.9862253031,55233778825.39794,2.431869755793018e+21,-3e-15
301.3013,0.9862006724,55767475952.195206,2.4790858066947264e+21,-3e-15
302.3023,0.9861761037,56304502578.37003,2.527058043696129e+21,-3e-15
303.3033,0.9861515966,56844868060.8978,2.5757960366162754e+21,-3e-15
304.3043,0.9861271509,57388581750.03898,2.625309444772432e+21,-3e-15
305.3053,0.9861027663,57935652991.1846,2.675608017537666e+21,-3e-15
306.3063,0.9860784424,58486091123.02906,2.7267015948847594e+21,-3e-15
307.3073,0.9860541789,59039905478.5199,2.778600107944789e+21,-3e-15
308.3083,0.9860299756,59597105385.36273,2.831313579563727e+21,-3e-15
309.3093,0.9860058322,60157700164.81471,2.8848521248550934e+21,-3e-15
310.3103,0.9859817483,60721699132.87072,2.939225951763768e+21,-3e-15
311.3113,0.9859577237,61289111600.21807,2.994445361626466e+21,-3e-15
312.3123,0.985933758,61859946870.910126,3.050520749728082e+21,-3e-15
313.3133,0.9859098511,62434214243.116745,3.107462605869923e+21,-3e-15
314.3143,0.9858860026,63011923011.21396,3.165281514944484e+21,-3e-15
315.3153,0.9858622121,63593082462.700905,3.2239881574887315e+21,-3e-15
316.3163,0.9858384796,64177701878.45542,3.2835933102558366e+21,-2e-15
317.3173,0.9858148046,64765790535.50677,3.3441078467986305e+21,-2e-15
318.3183,0.9857911869,65357357705.55549,3.4055427380353664e+21,-2e-15
319.3193,0.9857676262,65952412653.33476,3.467909052817001e+21,-2e-15
320.3203,0.9857441222,66550964638.477615,3.5312179585131023e+21,-2e-15
321.3213,0.9857206747,67153022916.44181,3.5954807215938223e+21,-2e-15
322.3223,0.9856972834,67758596736.6267,3.6607087082009317e+21,-2e-15
