z,A,rho_phi,p_phi,w_phi
0.0,1.0,0.4900441,-0.44103969,-0.9
1.001,0.9999004025,1.4706788357,-1.3971816792,-0.950025
2.002,0.9998017971,3.9730182755,-3.8406726518,-0.966689
3.003,0.9997041642,8.461694574,-8.2503109061,-0.975019
4.004,0.9996074849,15.1794570567,-14.8761108355,-0.980016
5.005,0.9995117409,24.1636855419,-23.7612931123,-0.983347
6.006,0.9994169144,35.2696416163,-34.7662215281,-0.985727
7.007,0.999322988,48.1974859999,-47.5955446509,-0.987511
8.008,0.9992299448,62.5212066536,-61.8271441416,-0.988899
9.009,0.9991377685,77.7182704848,-76.9417873143,-0.990009
10.01,0.9990464432,93.1992023944,-92.3527072294,-0.990917
11.011,0.9989559533,108.3365401774,-107.4345633156,-0.991674
12.012,0.9988662838,122.4927766196,-121.5513943299,-0.992315
13.013,0.9987774201,135.0470136716,-134.0832879294,-0.992864
14.014,0.9986893478,145.4201356747,-144.4515730002,-0.99334
15.015,0.998602053,153.0983696292,-152.1424019359,-0.993756
16.016,0.9985155223,157.6551468033,-156.7286364694,-0.994123
17.017,0.9984297423,158.771215677,-157.8899864728,-0.99445
18.018,0.9983447003,156.2529840565,-155.4313790717,-0.994742
19.019,0.9982603837,150.0490900576,-149.2995573761,-0.995005
20.02,0.9981767803,140.2652189162,-139.5979254561,-0.995243
21.021,0.9980938782,127.1771962115,-126.5996698739,-0.995459
22.022,0.9980116659,111.2423988312,-110.7591988815,-0.995656
23.023,0.9979301318,93.1095334233,-92.721948841,-0.995837
24.024,0.9978492651,73.6268386058,-73.3326139897,-0.996004
25.025,0.997769055,53.8487721802,-53.6418606705,-0.996158
26.026,0.9976894908,35.041248294,-34.9115908732,-0.9963
27.027,0.9976105624,18.685492137,-18.6188225893,-0.996432
28.028,0.9975322597,6.4805815171,-6.4582562612,-0.996555
29.029,0.9974545729,0.3447456863,-0.3435976449,-0.99667
30.03,0.9973774924,2.4154922032,-2.4077078337,-0.996777
31.031,0.997301009,15.048632518,-15.0016511002,-0.996878
32.032,0.9972251134,40.8162764461,-40.6927107011,-0.996973
33.033,0.9971497968,82.5038648112,-82.2614419136,-0.997062
34.034,0.9970750504,143.1063083712,-142.6978304088,-0.997146
35.035,0.9970008656,225.8232997173,-225.1966226529,-0.997225
36.036,0.9969272343,334.0538632257,-333.1518934174,-0.9973
37.037,0.9968541481,471.390206362,-470.1509137065,-0.997371
38.038,0.9967815992,641.6109337331,-639.9673805066,-0.997438
39.039,0.9967095797,848.6736832768,-846.5540677624,-0.997502
40.04,0.996638082,1096.7072418939,-1094.0349559,-0.997563
41.041,0.9965670986,1390.0031956916,-1386.6968950833,-0.997621
42.042,0.9964966222,1733.0071678274,-1728.980855214,-0.997677
43.043,0.9964266457,2130.3096947458,-2125.4728134871,-0.997729
44.044,0.996357162,2586.636789389,-2580.8943281063,-0.99778
45.045,0.9962881643,3106.8402377585,-3100.0928445597,-0.997828
46.046,0.9962196459,3695.887673008,-3688.0317786584,-0.997874
47.047,0.9961516002,4358.8524690754,-4349.7804183731,-0.997919
48.048,0.9960840207,5100.9034937151,-5090.5036843512,-0.997961
49.049,0.9960169011,5927.2947586788,-5915.4517868915,-0.998002
50.0501,0.9959502353,6843.3550027197,-6829.9498150734,-0.998041
51.0511,0.9958840172,7854.4772410673,-7839.3872917148,-0.998079
52.0521,0.9958182408,8966.1083130327,-8949.2077258429,-0.998115
53.0531,0.9957529003,10183.7384574758,-10164.8981924356,-0.99815
54.0541,0.99568799,11512.8909439825,-11491.9789673047,-0.998184
55.0551,0.9956235043,12959.1117857757,-12935.9932431696,-0.998216
56.0561,0.9955594377,14527.9595586114,-14502.4969511989,-0.998247
57.0571,0.9954957848,16224.9953482007,-16197.0487105813,-0.998278
58.0581,0.9954325404,18055.7728470391,-18025.1999270334,-0.998307
59.0591,0.9953696992,20025.8286199309,-19992.4850595527,-0.998335
60.0601,0.9953072561,22140.672555952,-22104.4120731844,-0.998362
61.0611,0.9952452063,24405.7785231174,-24366.453094087,-0.998389
62.0621,0.9951835447,26826.5752405936,-26784.0352817604,-0.998414
63.0631,0.9951222667,29408.4373819292,-29362.5319319307,-0.998439
64.0641,0.9950613673,32156.6769214704,-32107.2538222773,-0.998463
65.0651,0.9950008422,35076.5347348721,-35023.4408119336,-0.998486
66.0661,0.9949406865,38173.1724634171,-38116.2537044939,-0.998509
67.0671,0.9948808961,41451.6646507147,-41390.7663831136,-0.998531
68.0681,0.9948214663,44916.9911592552,-44851.958225201,-0.998552
69.0691,0.994762393,48574.0298732609,-48504.7068031551,-0.998573
70.0701,0.9947036718,52427.5496932857,-52353.7808766212,-0.998593
71.0711,0.9946452988,56482.203827076,-56403.8336807917,-0.998612
72.0721,0.9945872696,60742.5233803185,-60659.3965143931,-0.998631
73.0731,0.9945295805,65212.9112500542,-65124.8726301556,-0.99865
74.0741,0.9944722273,69897.6363227441,-69804.5314297637,-0.998668
75.0751,0.9944152063,74800.8279782185,-74702.5029645338,-0.998686
76.0761,0.9943585136,79926.4709000319,-79822.7727423557,-0.998703
77.0771,0.9943021455,85278.4001920803,-85169.1768407657,-0.998719
78.0781,0.9942460984,90860.2968007061,-90745.3973253914,-0.998735
79.0791,0.9941903685,96675.6832409333,-96554.9579724203,-0.998751
80.0801,0.9941349524,102727.9196249208,-102601.2202931941,-0.998767
81.0811,0.9940798465,109020.1999902103,-108887.3798585133,-0.998782
82.0821,0.9940250475,115555.5489248647,-115416.4629197611,-0.998796
83.0831,0.9939705518,122336.8184861494,-122191.3233235074,-0.998811
84.0841,0.9939163563,129366.685408995,-129214.6397158414,-0.998825
85.0851,0.9938624576,136647.648600097,-136488.913032298,-0.998838
86.0861,0.9938088525,144182.0269131625,-144016.464268895,-0.998852
87.0871,0.9937555379,151971.9572004823,-151799.432529471,-0.998865
88.0881,0.9937025106,160019.3926357192,-159839.7733442181,-0.998878
89.0891,0.9936497676,168326.1013025313,-168139.2572540405,-0.99889
90.0901,0.9935973058,176893.6650434043,-176699.4686551162,-0.998902
91.0911,0.9935451224,185723.4785628511,-185521.8048978284,-0.998914
92.0921,0.9934932142,194816.7487789353,-194607.4756340304,-0.998926
93.0931,0.9934415786,204174.4944169079,-203957.502406437,-0.998937
94.0941,0.9933902126,213797.5458385843,-213572.7184737776,-0.998948
95.0951,0.9933391135,223686.5451009643,-223453.7688652162,-0.998959
96.0961,0.9932882785,233841.946237474,-233601.1106574255,-0.99897
97.0971,0.9932377049,244264.0157551203,-244015.0134676078,-0.998981
98.0981,0.9931873901,254952.8333407652,-254695.560155675,-0.998991
99.0991,0.9931373314,265908.2927696593,-265642.6477287319,-0.999001
100.1001,0.9930875263,277130.1030093389,-276855.9884409706,-0.999011
101.1011,0.9930379721,288617.7895119432,-288335.1110820347,-0.999021
102.1021,0.9929886665,300370.6956879948,-300079.3624469028,-0.99903
103.1031,0.9929396069,312387.9845546852,-312087.9089803334,-0.999039
104.1041,0.9928907909,324668.6405517018,-324359.7385889106,-0.999049
105.1051,0.9928422161,337211.4715176572,-336893.6626137561,-0.999058
106.1061,0.9927938802,350015.1108202071,-349688.317956994,-0.999066
107.1071,0.9927457808,363078.0196329786,-362742.1693550933,-0.999075
108.1081,0.9926979156,376398.4893524861,-376053.511792267,-0.999083
109.1091,0.9926502824,389974.644148251,-389620.4730471463,-0.999092
110.1101,0.992602879,403804.4436394272,-403441.0163660322,-0.9991
111.1111,0.992555703,417885.6856912907,-417512.9432560853,-0.999108
112.1121,0.9925087525,432216.009325029,-431833.8963918918,-0.999116
113.1131,0.9924620253,446792.8977343714,-446401.3626289435,-0.999124
114.1141,0.9924155191,461613.6814026618,-461212.6761176408,-0.999131
115.1151,0.9923692321,476675.5413141042,-476265.0215115431,-0.999139
116.1161,0.9923231621,491975.512252986,-491555.4372636777,-0.999146
117.1171,0.9922773071,507510.486184813,-507080.8190048381,-0.999153
118.1181,0.9922316651,523277.2157133824,-522837.9229978994,-0.99916
119.1191,0.9921862342,539272.3176079511,-538823.3696623096,-0.999167
120.1201,0.9921410125,555492.2763947592,-555033.6471630149,-0.999174
121.1211,0.992095998,571933.4480073028,-571465.1150582137,-0.999181
122.1221,0.9920511888,588592.063489867,-588114.0080004514,-0.999188
123.1231,0.9920065831,605464.2327489558,-604976.4394856907,-0.999194
124.1241,0.9919621791,622545.9483473868,-622048.4056451259,-0.999201
125.1251,0.9919179749,639833.0893359482,-639325.7890746393,-0.999207
126.1261,0.9918739688,657321.425117643,-656804.3626969211,-0.999213
127.1271,0.991830159,675006.619339685,-674479.7936514214,-0.99922
128.1281,0.9917865438,692884.2338085312,-692347.6472074143,-0.999226
129.1291,0.9917431214,710949.7324233949,-710403.3906956194,-0.999232
130.1301,0.9916998902,729198.485123779,-728642.39745392,-0.999237
131.1311,0.9916568486,747625.7718467439,-747059.9507828911,-0.999243
132.1321,0.9916139948,766226.7864897341,-765651.2479069603,-0.999249
133.1331,0.9915713272,784996.6408749312,-784411.4039371675,-0.999254
134.1341,0.9915288443,803930.368711223,-803335.4558316147,-0.99926
135.1351,0.9914865444,823022.9295500418,-822418.3663498561,-0.999265
136.1361,0.991444426,842269.2127314158,-841655.0279975719,-0.999271
137.1371,0.9914024876,861664.0413167428,-861040.2669580333,-0.999276
138.1381,0.9913607275,881202.1760049118,-880568.8470069845,-0.999281
139.1391,0.9913191444,900878.3190285353,-900235.4734077026,-0.999286
140.1401,0.9912777367,920687.1180271608,-920034.7967831029,-0.999291
141.1411,0.991236503,940623.1698945021,-939961.416961929,-0.999296
142.1421,0.9911954418,960681.0245968011,-960009.8867961366,-0.999301
143.1431,0.9911545517,980855.1889596051,-980174.7159467572,-0.999306
144.1441,0.9911138313,1001140.1304203258,-1000450.3746356032,-0.999311
145.1451,0.9910732791,1021530.2807441037,-1020831.2973603386,-0.999316
146.1461,0.9910328938,1042020.0397005804,-1041311.8865705177,-0.99932
147.1471,0.9909926741,1062603.778699338,-1061886.5163023483,-0.999325
148.1481,0.9909526186,1083275.8443818523,-1082549.5357700244,-0.99933
149.1491,0.9909127259,1104030.562167921,-1103295.272911589,-0.999334
150.1502,0.9908729948,1124862.239754664,-1124118.0378874233,-0.999338
151.1512,0.9908334239,1145765.170566259,-1145012.1265295248,-0.999343
152.1522,0.990794012,1166733.6371527223,-1165971.8237398793,-0.999347
153.1532,0.9907547578,1187761.9145361301,-1186991.4068363258,-0.999351
154.1542,0.9907156601,1208844.2735027645,-1208065.148844393,-0.999355
155.1552,0.9906767176,1229974.9838398104,-1229187.3217337355,-0.99936
156.1562,0.9906379291,1251148.317515263,-1250352.1995978255,-0.999364
157.1572,0.9905992933,1272358.5517998778,-1271554.0617757333,-0.999368
158.1582,0.9905608092,1293599.972330004,-1292787.195914833,-0.999372
159.1592,0.9905224755,1314866.876110314,-1314045.900973448,-0.999376
160.1602,0.9904842911,1336153.5744554622,-1335324.490162466,-0.999379
161.1612,0.9904462547,1357454.3958698432,-1356617.2938250937,-0.999383
162.1622,0.9904083653,1378763.6888646525,-1377918.662253952,-0.999387
163.1632,0.9903706218,1400075.8247116022,-1399222.9684448647,-0.999391
164.1642,0.990333023,1421385.200132643,-1420524.6107866878,-0.999395
165.1652,0.9902955678,1442686.2399251864,-1441818.0156866757,-0.999398
166.1662,0.9902582551,1463973.3995223509,-1463097.6401309038,-0.999402
167.1672,0.9902210839,1485241.1674878688,-1484357.9741793848,-0.999405
168.1682,0.9901840531,1506484.0679453157,-1505593.5433955388,-0.999409
169.1692,0.9901471616,1527696.6629414184,-1526798.9112097737,-0.999412
170.1702,0.9901104085,1548873.5547432716,-1547968.6812170004,-0.999416
171.1712,0.9900737926,1570009.38806932,-1569097.4994079433,-0.999419
172.1722,0.990037313,1591098.8522540738,-1590180.056334212,-0.999423
173.1732,0.9900009686,1612136.6833465213,-1611211.0892070935,-0.999426
174.1742,0.9899647586,1633117.6661423307,-1632185.3839301602,-0.999429
175.1752,0.9899286817,1654036.636149924,-1653097.7770657737,-0.999432
176.1762,0.9898927372,1674888.4814906004,-1673943.1577356588,-0.999436
177.1772,0.9898569241,1695668.1447329146,-1694716.4694557567,-0.999439
178.1782,0.9898212413,1716370.6246615734,-1715412.7119056156,-0.999442
179.1792,0.989785688,1736990.9779811595,-1736026.9426326281,-0.999445
180.1802,0.9897502632,1757524.320955039,-1756554.2786914716,-0.999448
181.1812,0.989714966,1777965.8309798238,-1776989.8982191226,-0.999451
182.1822,0.9896797954,1798310.7480958668,-1797329.0419459164,-0.999454
183.1832,0.9896447507,1818554.3764342195,-1817567.0146430915,-0.999457
184.1842,0.9896098309,1838692.0856005931,-1837699.1865073466,-0.99946
185.1852,0.989575035,1858719.3119968565,-1857720.9944829533,-0.999463
186.1862,0.9895403623,1878631.560080659,-1877627.9435220035,-0.999466
187.1872,0.9895058119,1898424.4035637742,-1897415.6077833923,-0.999469
188.1882,0.9894713829,1918093.4865498315,-1917079.6317712013,-0.999471
189.1892,0.9894370745,1937634.5246120822,-1936615.7314131246,-0.999474
190.1902,0.9894028858,1957043.3058119204,-1956019.6950796621,-0.999477
191.1912,0.989368816,1976315.6916588517,-1975287.384544769,-0.99948
192.1922,0.9893348643,1995447.6180126946,-1994414.7358887484,-0.999482
193.1932,0.9893010298,2014435.0959287481,-2013397.7603441149,-0.999485
194.1942,0.9892673119,2033274.2124467469,-2032232.5450852555,-0.999488
195.1952,0.9892337096,2051961.1313243895,-2050915.2539626718,-0.99949
196.1962,0.9892002222,2070492.0937162798,-2069442.1281826363,-0.999493
197.1972,0.9891668489,2088863.4187991319,-2087809.4869331224,-0.999495
198.1982,0.9891335889,2107071.504344088,-2106013.72795685,-0.999498
199.1992,0.9891004415,2125112.8272370314,-2124051.3280723304,-0.9995
200.2002,0.989067406,2142983.9439477846,-2141918.8436438013,-0.999503
201.2012,0.9890344815,2160681.4909490873,-2159612.91100094,-0.999505
202.2022,0.9890016673,2178202.185086259,-2177130.246809272,-0.999508
203.2032,0.9889689627,2195542.823898511,-2194467.648392222,-0.99951
204.2042,0.988936367,2212700.2858927553,-2211621.9940056694,-0.999513
205.2052,0.9889038795,2229671.530770935,-2228590.2430660236,-0.999515
206.2062,0.9888714994,2246453.5996117624,-2245369.436332707,-0.999517
207.2072,0.988839226,2263043.6150078396,-2261956.6960460213,-0.99952
208.2082,0.9888070587,2279438.7811590983,-2278349.226021333,-0.999522
209.2092,0.9887749967,2295636.3839235455,-2294544.311700564,-0.999524
210.2102,0.9887430393,2311633.7908262373,-2310539.3201619047,-0.999527
211.2112,0.988711186,2327428.451027482,-2326331.700088762,-0.999529
212.2122,0.9886794359,2343017.895251194,-2341918.9816988506,-0.999531
213.2132,0.9886477886,2358399.735674417,-2357298.77663445,-0.999533
214.2142,0.9886162432,2373571.665778915,-2372468.7778147324,-0.999535
215.2152,0.9885847991,2388531.460165857,-2387426.759251174,-0.999537
216.2162,0.9885534557,2403276.9743345045,-2402170.5758269723,-0.99954
217.2172,0.9885222124,2417806.1444259044,-2416698.163041457,-0.999542
218.2182,0.9884910685,2432116.98693249,-2431007.5367204132,-0.999544
219.2192,0.9884600234,2446207.5983746024,-2445096.7926933146,-0.999546
220.2202,0.9884290764,2460076.1549448245,-2458964.1064383653,-0.999548
221.2212,0.9883982271,2473720.912121107,-2472607.7326963306,-0.99955
222.2222,0.9883674746,2487140.204249599,-2486026.0050540664,-0.999552
223.2232,0.9883368185,2500332.4440981275,-2499217.33549869,-0.999554
224.2242,0.9883062581,2513296.122381235,-2512180.2139433045,-0.999556
225.2252,0.9882757929,2526029.807257723,-2524913.207725225,-0.999558
226.2262,0.9882454222,2538532.143801558,-2537414.9610775555,-0.99956
227.2272,0.9882151456,2550801.8534470974,-2549684.1945750876,-0.999562
228.2282,0.9881849623,2562837.733409491,-2561719.704555358,-0.999564
229.2292,0.9881548718,2574638.6560811535,-2573520.362515779,-0.999566
230.2302,0.9881248736,2586203.568405191,-2585085.1144877123,-0.999568
231.2312,0.9880949671,2597531.491226628,-2596412.980388333,-0.999569
232.2322,0.9880651518,2608621.5186223127,-2607503.0533511727,-0.999571
233.2332,0.988035427,2619472.817210344,-2618354.499036167,-0.999573
234.2342,0.9880057923,2630084.6254398185,-2628966.554920023,-0.999575
235.2352,0.9879762471,2640456.2528617987,-2639338.529567798,-0.999577
236.2362,0.9879467908,2650587.0793822263,-2649469.801886413,-0.999578
237.2372,0.987917423,2660476.554497662,-2659359.820360988,-0.99958
238.2382,0.9878881431,2670124.1965145916,-2669008.1022747336,-0.999582
239.2392,0.9878589506,2679529.591753115,-2678414.2329132194,-0.999584
240.2402,0.987829845,2688692.3937357496,-2687577.8647537446,-0.999585
241.2412,0.9878008257,2697612.3223621435,-2696498.716640616,-0.999587
242.2422,0.9877718923,2706289.163070422,-2705176.572947044,-0.999589
243.2432,0.9877430442,2714722.7659859094,-2713611.2827244126,-0.999591
244.2442,0.987714281,2722913.04505792,-2721802.7588396035,-0.999592
245.2452,0.9876856021,2730859.9771853923,-2729750.977101161,-0.999594
246.2462,0.9876570071,2738563.601331981,-2737455.9753749,-0.999596
247.2472,0.9876284955,2746024.017631349,-2744917.852689711,-0.999597
248.2482,0.9876000667,2753241.3864833107,-2752136.768334203,-0.999599
249.2492,0.9875717204,2760215.927641482,-2759112.94094485,-0.9996
250.2503,0.987543456,2766947.9192930884,-2765846.647586279,-0.999602
251.2513,0.987515273,2773437.6971315686,-2772338.2228243556,-0.999604
252.2523,0.9874871711,2779685.6534225764,-2778588.0577926454,-0.999605
253.2533,0.9874591497,2785692.2360640145,-2784596.5992529136,-0.999607
254.2543,0.9874312084,2791457.947640676,-2790364.348650212,-0.999608
255.2553,0.9874033467,2796983.3444740837,-2795891.8611631608,-0.99961
256.2563,0.9873755642,2802269.03566807,-2801179.7447499605,-0.999611
257.2573,0.9873478604,2807315.6821507467,-2806228.659190786,-0.999613
258.2583,0.987320235,2812123.9957132554,-2811039.3151269527,-0.999614
259.2593,0.9872926873,2816694.7380459676,-2815612.4730975227,-0.999616
260.2603,0.9872652171,2821028.7197726024,-2819948.942573819,-0.999617
261.2613,0.9872378239,2825126.799482741,-2824049.580992333,-0.999619
262.2623,0.9872105072,2828989.882763273,-2827915.2927865507,-0.99962
263.2633,0.9871832667,2832618.9212292465,-2831547.028418172,-0.999622
264.2643,0.9871561018,2836014.9115545806,-2834945.783408194,-0.999623
265.2653,0.9871290123,2839178.8945030905,-2838112.597368286,-0.999624
266.2663,0.9871019976,2842111.953960302,-2841048.553032955,-0.999626
267.2673,0.9870750574,2844815.215966454,-2843754.775292888,-0.999627
268.2683,0.9870481912,2847289.8477511294,-2846232.4302299106,-0.999629
269.2693,0.9870213987,2849537.05676992,-2848482.7241539797,-0.99963
270.2703,0.9869946795,2851558.0897434973,-2850506.902642566,-0.999631
271.2713,0.9869680331,2853354.2316995366,-2852306.249582886,-0.999633
272.2723,0.9869414592,2854926.805017795,-2853882.086217282,-0.999634
273.2733,0.9869149574,2856277.1684787488,-2855235.7701921454,-0.999635
274.2743,0.9868885272,2857406.716316132,-2856368.694610744,-0.999637
275.2753,0.9868621683,2858316.877273724,-2857282.2870902824,-0.999638
276.2763,0.9868358804,2859009.1136666858,-2857978.0088235084,-0.999639
277.2773,0.986809663,2859484.9204478073,-2858457.353645219,-0.999641
278.2783,0.9867835157,2859745.8242789274,-2858721.8471039357,-0.999642
279.2793,0.9867574383,2859793.382607856,-2858773.045539072,-0.999643
280.2803,0.9867314302,2859629.182751073,-2858612.5351638687,-0.999644
281.2813,0.9867054912,2859254.84098248,-2858241.931154381,-0.999646
282.2823,0.9866796209,2858672.001628447,-2857662.8767447453,-0.999647
283.2833,0.986653819,2857882.336169474,-2856877.0423290613,-0.999648
284.2843,0.986628085,2856887.5423486284,-2855886.1245700377,-0.999649
285.2853,0.9866024186,2855689.3432870656,-2854691.8455147156,-0.999651
286.2863,0.9865768195,2854289.4866068047,-2853295.951717443,-0.999652
287.2873,0.9865512873,2852689.743561014,-2851700.2133703474,-0.999653
288.2883,0.9865258216,2850891.908172015,-2849906.423441527,-0.999654
289.2893,0.9865004222,2848897.7963771406,-2847916.39682108,-0.999656
290.2903,0.9864750886,2846709.2451827405,-2845731.969475285,-0.999657
291.2913,0.9864498206,2844328.111826393,-2843354.997608976,-0.999658
292.2923,0.9864246178,2841756.2729476304,-2840787.3568364237,-0.999659
293.2933,0.9863994799,2838995.623767205,-2838030.9413607535,-0.99966
294.2943,0.9863744065,2836048.077275146,-2835087.6631621495,-0.999661
295.2953,0.9863493973,2832915.5634277137,-2831959.451194948,-0.999662
296.2963,0.986324452,2829600.0283534084,-2828648.2505937777,-0.999664
297.2973,0.9862995703,2826103.4335681256,-2825156.0218888465,-0.999665
298.2983,0.9862747517,2822427.75519963,-2821484.7402305347,-0.999666
299.2993,0.9862499961,2818574.983221435,-2817636.3946233937,-0.999667
300.3003,0.9862253031,2814547.120696206,-2813612.987169658,-0.999668
301.3013,0.9862006724,2810346.183028759,-2809416.532322351,-0.999669
302.3023,0.9861761037,2805974.1972288075,-2805049.0561481332,-0.99967
303.3033,0.9861515966,2801433.2011834723,-2800512.595599907,-0.999671
304.3043,0.9861271509,2796725.2429396887,-2795809.1977993124,-0.999672
305.3053,0.9861027663,2791852.37999657,-2790940.9193291767,-0.999674
306.3063,0.9860784424,2786816.678607752,-2785909.825535941,-0.999675
307.3073,0.9860541789,2781620.2130938605,-2780717.9898422,-0.999676
308.3083,0.9860299756,2776265.065165068,-2775367.4930693335,-0.999677
309.3093,0.9860058322,2770753.323253857,-2769860.4227703298,-0.999678
310.3103,0.9859817483,2765087.0818579863,-2764198.8725728197,-0.999679
311.3113,0.9859577237,2759268.440893698,-2758384.941532337,-0.99968
312.3123,0.985933758,2753299.5050592455,-2752420.7334959004,-0.999681
313.3133,0.9859098511,2747182.3832087093,-2746308.356475877,-0.999682
314.3143,0.9858860026,2740919.187736126,-2740049.922034156,-0.999683
315.3153,0.9858622121,2734512.033969988,-2733647.5446766876,-0.999684
316.3163,0.9858384796,2727963.0395780886,-2727103.3412583657,-0.999685
317.3173,0.9858148046,2721274.323982708,-2720419.4303982444,-0.999686
318.3183,0.9857911869,2714448.0077861715,-2713597.9319051253,-0.999687
319.3193,0.9857676262,2707486.2122067465,-2706640.966213479,-0.999688
320.3203,0.9857441222,2700391.058524896,-2699550.6538297203,-0.999689
321.3213,0.9857206747,2693164.6675398382,-2692329.1147887823,-0.99969
322.3223,0.9856972834,2685809.159036434,-2684978.46812102,-0.999691
323.3233,0.985673948,2678326.6512623425,-2677500.8313293764,-0.999692
324.3243,0.9856506683,2670719.2604154544,-2669898.3198768203,-0.999693
325.3253,0.985627444,2662989.100141533,-2662173.0466839946,-0.999694
326.3263,0.9856042748,2655138.281042084,-2654327.1216370827,-0.999694
327.3273,0.9855811606,2647168.910192331,-2646362.6511057843,-0.999695
328.3283,0.9855581009,2639083.090669369,-2638281.7374714627,-0.999696
329.3293,0.9855350956,2630882.9210903416,-2630086.478665313,-0.999697
330.3303,0.9855121444,2622570.4951606607,-2621778.96771657,-0.999698
331.3313,0.9854892471,2614147.9012322025,-2613361.2923106905,-0.999699
332.3323,0.9854664033,2605617.2218714203,-2604835.5343574486,-0.9997
