z,A,rho_phi,p_phi,w_phi
658.6587,0.9799401137,167549.7864120963,-167524.3869446274,-0.999848
659.6597,0.9799271926,165612.0873824896,-165587.0196967363,-0.999849
660.6607,0.9799142888,163694.7267853549,-163669.9868035912,-0.999849
661.6617,0.979901402,161797.5236709204,-161773.1073612058,-0.999849
662.6627,0.9798885324,159920.298177564,-159896.2015533037,-0.999849
663.6637,0.9798756798,158062.8715343661,-158039.0906538734,-0.99985
664.6647,0.9798628442,156225.0660634456,-156201.5970295076,-0.99985
665.6657,0.9798500255,154406.7051820888,-154383.5441415352,-0.99985
666.6667,0.9798372238,152607.6134046708,-152584.7565479452,-0.99985
667.6677,0.979824439,150827.6163443761,-150805.0599051108,-0.99985
668.6687,0.9798116709,149066.5407147211,-149044.2809693143,-0.999851
669.6697,0.9797989197,147324.2143308831,-147302.2475980796,-0.999851
670.6707,0.9797861852,145600.4661108382,-145578.7887513124,-0.999851
671.6717,0.9797734674,143895.1260763128,-143873.7344922554,-0.999851
672.6727,0.9797607662,142208.0253535525,-142186.9159882595,-0.999852
673.6737,0.9797480817,140538.9961739124,-140518.1655113777,-0.999852
674.6747,0.9797354137,138887.8718742701,-138867.3164387802,-0.999852
675.6757,0.9797227622,137254.486897268,-137234.2032530007,-0.999852
676.6767,0.9797101272,135638.6767913862,-135618.6615420114,-0.999852
677.6777,0.9796975087,134040.2782108519,-134020.5279991358,-0.999853
678.6787,0.9796849065,132459.1289153846,-132439.6404227968,-0.999853
679.6797,0.9796723207,130895.0677697851,-130875.8377161082,-0.999853
680.6807,0.9796597512,129347.9347433689,-129328.959886312,-0.999853
681.6817,0.979647198,127817.5709092472,-127798.8480440614,-0.999854
682.6827,0.979634661,126303.8184434609,-126285.3444025582,-0.999854
683.6837,0.9796221402,124806.5206239686,-124788.2922765436,-0.999854
684.6847,0.9796096355,123325.5218294914,-123307.5360811461,-0.999854
685.6857,0.979597147,121860.6675382225,-121842.9213305938,-0.999854
686.6867,0.9795846745,120411.8043263969,-120394.2946367871,-0.999855
687.6877,0.979572218,118978.7798667303,-118961.5037077407,-0.999855
688.6887,0.9795597774,117561.4429267291,-117544.397345896,-0.999855
689.6897,0.9795473529,116159.6433668712,-116142.8254463056,-0.999855
690.6907,0.9795349442,114773.2321386661,-114756.6389946953,-0.999855
691.6917,0.9795225514,113402.0612825911,-113385.6900654042,-0.999856
692.6927,0.9795101744,112045.9839259111,-112029.8318192065,-0.999856
693.6937,0.9794978131,110704.8542803835,-110688.9185010199,-0.999856
694.6947,0.9794854676,109378.5276398494,-109362.8054374991,-0.999856
695.6957,0.9794731378,108066.8603777155,-108051.3490345214,-0.999856
696.6967,0.9794608237,106769.7099443295,-106754.4067745639,-0.999857
697.6977,0.9794485252,105486.9348642504,-105471.8372139774,-0.999857
698.6987,0.9794362422,104218.3947334173,-104203.4999801575,-0.999857
699.6997,0.9794239748,102963.9502162196,-102949.2557686181,-0.999857
700.7007,0.9794117229,101723.4630424685,-101708.9663399655,-0.999857
701.7017,0.9793994864,100496.7960042782,-100482.4945167821,-0.999858
702.7027,0.9793872654,99283.8129528513,-99269.7041804149,-0.999858
703.7037,0.9793750597,98084.3787951777,-98070.4602676775,-0.999858
704.7047,0.9793628694,96898.3594906456,-96884.6287674629,-0.999858
705.7057,0.9793506944,95725.6220475687,-95712.0767172742,-0.999858
706.7067,0.9793385347,94566.03451963,-94552.6721996712,-0.999859
707.7077,0.9793263902,93419.4660022479,-93406.2843386388,-0.999859
708.7087,0.9793142609,92285.7866288626,-92272.7832958759,-0.999859
709.7097,0.9793021467,91164.8675671487,-91152.0402670117,-0.999859
710.7107,0.9792900477,90056.581015154,-90043.9274777462,-0.999859
711.7117,0.9792779637,88960.8001973672,-88948.318179921,-0.99986
712.7127,0.9792658948,87877.3993607174,-87865.0866475213,-0.99986
713.7137,0.9792538409,86806.253770506,-86794.1081726106,-0.99986
714.7147,0.979241802,85747.2397062747,-85735.2590612015,-0.99986
715.7157,0.9792297779,84700.2344576104,-84688.4166290627,-0.99986
716.7167,0.9792177688,83665.1163198892,-83653.4591974659,-0.999861
717.7177,0.9792057746,82641.7645899626,-82630.2660888748,-0.999861
718.7187,0.9791937951,81630.0595617858,-81618.7176225756,-0.999861
719.7197,0.9791818304,80629.8825219922,-80618.6951102542,-0.999861
720.7207,0.9791698805,79641.1157454136,-79630.0808515192,-0.999861
721.7217,0.9791579453,78663.6424905506,-78652.7581293745,-0.999862
722.7227,0.9791460248,77697.3469949925,-77686.6112056417,-0.999862
723.7237,0.9791341189,76742.1144707907,-76731.5253163366,-0.999862
724.7247,0.9791222276,75797.8310997849,-75787.3866669969,-0.999862
725.7257,0.9791103509,74864.3840288868,-74854.0824279693,-0.999862
726.7267,0.9790984887,73941.6613653194,-73931.5007296509,-0.999863
727.7277,0.979086641,73029.5521718181,-73019.5306576925,-0.999863
728.7287,0.9790748078,72127.9464617896,-72118.0622481603,-0.999863
729.7297,0.979062989,71236.7351944361,-71226.9864826626,-0.999863
730.7307,0.9790511846,70355.8102698411,-70346.1952834376,-0.999863
731.7317,0.9790393946,69485.0645240231,-69475.5815084098,-0.999864
732.7327,0.9790276189,68624.3917239543,-68615.0389462108,-0.999864
733.7337,0.9790158574,67773.6865625494,-67764.4623111708,-0.999864
734.7347,0.9790041102,66932.8446536233,-66923.7472382787,-0.999864
735.7357,0.9789923773,66101.7625268219,-66092.7902781144,-0.999864
736.7367,0.9789806585,65280.3376225234,-65271.4888917537,-0.999864
737.7377,0.9789689539,64468.4682867162,-64459.7414456475,-0.999865
738.7387,0.9789572634,63666.0537658514,-63657.4472064769,-0.999865
739.7397,0.9789455869,62872.9942016722,-62864.5063359849,-0.999865
740.7407,0.9789339246,62089.1906260219,-62080.8198857867,-0.999865
741.7417,0.9789222762,61314.5449556312,-61306.2897921592,-0.999865
742.7427,0.9789106418,60548.9599868875,-60540.8188708124,-0.999866
743.7437,0.9788990214,59792.339390584,-59784.3108116409,-0.999866
744.7447,0.9788874149,59044.5877066543,-59036.6701734604,-0.999866
745.7457,0.9788758223,58305.6103388906,-58297.8023787286,-0.999866
746.7467,0.9788642435,57575.3135496476,-57567.6137082507,-0.999866
747.7477,0.9788526785,56853.604454533,-56846.0112958724,-0.999866
748.7487,0.9788411273,56140.3910170866,-56132.9031231606,-0.999867
749.7497,0.9788295899,55435.5820434475,-55428.1980140739,-0.999867
750.7508,0.9788180662,54739.0871770128,-54731.8056296219,-0.999867
751.7518,0.9788065562,54050.8168930855,-54043.6364625163,-0.999867
752.7528,0.9787950598,53370.6824935167,-53363.6018318145,-0.999867
753.7538,0.978783577,52698.5961013394,-52691.613877556,-0.999868
754.7548,0.9787721079,52034.4706553976,-52027.5855553928,-0.999868
755.7558,0.9787606523,51378.2199049697,-51371.430631216,-0.999868
756.7568,0.9787492102,50729.7584043889,-50723.0636757768,-0.999868
757.7578,0.9787377816,50089.0015076598,-50082.4000593062,-0.999868
758.7588,0.9787263665,49455.8653630743,-49449.355946132,-0.999868
759.7598,0.9787149648,48830.2669078244,-48823.8482892945,-0.999869
760.7608,0.9787035765,48212.1238626165,-48205.794825162,-0.999869
761.7618,0.9786922016,47601.3547262857,-47595.1140680471,-0.999869
762.7628,0.97868084,46997.8787704113,-46991.7253048246,-0.999869
763.7638,0.9786694918,46401.6160339348,-46395.548589551,-0.999869
764.7648,0.9786581568,45812.4873177809,-45806.5047380873,-0.999869
765.7658,0.978646835,45230.4141794824,-45224.515322726,-0.99987
766.7668,0.9786355265,44655.3189278098,-44649.5026668227,-0.99987
767.7678,0.9786242311,44087.1246174059,-44081.3898394319,-0.99987
768.7688,0.9786129489,43525.7550434266,-43520.1006499503,-0.99987
769.7698,0.9786016798,42971.1347361887,-42965.5596427663,-0.99987
770.7708,0.9785904238,42423.188955825,-42417.6920919164,-0.99987
771.7718,0.9785791809,41881.8436869477,-41876.4239957508,-0.999871
772.7728,0.978567951,41347.0256333202,-41341.6820716069,-0.999871
773.7738,0.9785567341,40818.6622125389,-40813.393750493,-0.999871
774.7748,0.9785455302,40296.6815507249,-40291.4871717812,-0.999871
775.7758,0.9785343392,39781.0124772261,-39775.891177912,-0.999871
776.7768,0.9785231611,39271.5845193314,-39266.5353091091,-0.999871
777.7778,0.9785119959,38768.3278969955,-38763.3497981073,-0.999872
778.7788,0.9785008435,38271.1735175777,-38266.2655648917,-0.999872
779.7798,0.978489704,37780.0529705924,-37775.2142114507,-0.999872
780.7808,0.9784785773,37294.8985224738,-37290.1280165418,-0.999872
781.7818,0.9784674633,36815.6431113549,-36810.9399304726,-0.999872
782.7828,0.9784563621,36342.2203418605,-36337.5835698951,-0.999872
783.7838,0.9784452736,35874.5644799155,-35869.993212616,-0.999873
784.7848,0.9784341978,35412.6104475688,-35408.1037924218,-0.999873
785.7858,0.9784231346,34956.2938178337,-34951.8508939211,-0.999873
786.7868,0.978412084,34505.5508095439,-34501.1707474017,-0.999873
787.7878,0.978401046,34060.3182822272,-34056.0002237063,-0.999873
788.7888,0.9783900206,33620.533730996,-33616.2768291245,-0.999873
789.7898,0.9783790077,33186.1352814565,-33181.9387003031,-0.999874
790.7908,0.9783680073,32757.0616846351,-32752.9245991744,-0.999874
791.7918,0.9783570194,32333.2523119236,-32329.173907903,-0.999874
792.7928,0.978346044,31914.6471500443,-31910.6266238516,-0.999874
793.7938,0.978335081,31501.1867960332,-31497.2233545668,-0.999874
794.7948,0.9783241303,31092.8124522438,-31088.9053127833,-0.999874
795.7958,0.978313192,30689.4659213705,-30685.6143114495,-0.999874
796.7968,0.9783022661,30291.0896014927,-30287.2927587725,-0.999875
797.7978,0.9782913525,29897.6264811395,-29893.8836532845,-0.999875
798.7988,0.9782804512,29509.0201343755,-29505.33057893,-0.999875
799.7998,0.9782695621,29125.2147159077,-29121.5777001737,-0.999875
800.8008,0.9782586852,28746.1549562146,-28742.5697571318,-0.999875
801.8018,0.9782478206,28371.7861566967,-28368.2520607227,-0.999875
802.8028,0.9782369681,28002.0541848497,-27998.5704878425,-0.999876
803.8038,0.9782261278,27636.9054694594,-27633.4714765609,-0.999876
804.8048,0.9782152995,27276.2869958205,-27272.9020213412,-0.999876
805.8058,0.9782044834,26920.1463009772,-26916.8096682823,-0.999876
806.8068,0.9781936794,26568.4314689878,-26565.1425103847,-0.999876
807.8078,0.9781828874,26221.0911262125,-26217.8491828394,-0.999876
808.8088,0.9781721073,25878.0744366247,-25874.8788583407,-0.999877
809.8098,0.9781613393,25539.3310971466,-25536.1812424226,-0.999877
810.8108,0.9781505833,25204.8113330083,-25201.7065688198,-0.999877
811.8118,0.9781398391,24874.4658931318,-24871.4055948522,-0.999877
812.8128,0.9781291069,24548.2460455388,-24545.2295968347,-0.999877
813.8138,0.9781183866,24226.1035727837,-24223.1303655108,-0.999877
814.8148,0.9781076781,23907.990767411,-23905.0602015113,-0.999877
815.8158,0.9780969814,23593.8604274381,-23590.9719108385,-0.999878
816.8168,0.9780862966,23283.6658518625,-23280.8188003745,-0.999878
817.8178,0.9780756235,22977.360836195,-22974.5546734154,-0.999878
818.8188,0.9780649622,22674.8996680179,-22672.1338252308,-0.999878
819.8198,0.9780543126,22376.2371225688,-22373.5110386485,-0.999878
820.8208,0.9780436747,22081.3284583498,-22078.6415796655,-0.999878
821.8218,0.9780330484,21790.1294127632,-21787.4811930837,-0.999878
822.8228,0.9780224338,21502.596197772,-21499.9860981727,-0.999879
823.8238,0.9780118309,21218.6854955873,-21216.1129843573,-0.999879
824.8248,0.9780012395,20938.3544543815,-20935.8190069325,-0.999879
825.8258,0.9779906597,20661.560684027,-20659.0617828028,-0.999879
826.8268,0.9779800915,20388.2622518625,-20385.7993862496,-0.999879
827.8278,0.9779695348,20118.4176784841,-20115.9903447239,-0.999879
828.8288,0.9779589895,19851.9859335639,-19849.5936346651,-0.999879
829.8298,0.9779484558,19588.9264316946,-19586.5686773472,-0.99988
830.8308,0.9779379335,19329.1990282605,-19326.8753347508,-0.99988
831.8318,0.9779274226,19072.7640153356,-19070.4739054615,-0.99988
832.8328,0.9779169231,18819.5821176074,-18817.325120596,-0.99988
833.8338,0.977906435,18569.6144883284,-18567.3901397532,-0.99988
834.8348,0.9778959582,18322.8227052934,-18320.6305469935,-0.99988
835.8358,0.9778854928,18079.1687668439,-18077.0083468437,-0.999881
836.8368,0.9778750386,17838.6150878998,-17836.4859603295,-0.999881
837.8378,0.9778645958,17601.1244960166,-17599.026221034,-0.999881
838.8388,0.9778541641,17366.6602274702,-17364.5923711835,-0.999881
839.8398,0.9778437438,17135.1859233689,-17133.1480577598,-0.999881
840.8408,0.9778333346,16906.665625791,-16904.6573286396,-0.999881
841.8418,0.9778229366,16681.0637739503,-16679.0846287601,-0.999881
842.8428,0.9778125497,16458.3452003881,-16456.3947963123,-0.999881
843.8438,0.977802174,16238.4751271912,-16236.5530589598,-0.999882
844.8448,0.9777918094,16021.419162238,-16019.525030086,-0.999882
845.8458,0.9777814559,15807.1432954706,-15805.2767050666,-0.999882
846.8468,0.9777711134,15595.6138951935,-15593.7744575695,-0.999882
847.8478,0.977760782,15386.7977043994,-15384.9850358814,-0.999882
848.8488,0.9777504616,15180.6618371219,-15178.8755592611,-0.999882
849.8498,0.9777401522,14977.1737748138,-14975.4135143192,-0.999882
850.8509,0.9777298537,14776.3013627536,-14774.5667514249,-0.999883
851.8519,0.9777195662,14578.0128064773,-14576.3034811384,-0.999883
852.8529,0.9777092896,14382.2766682372,-14380.5922706714,-0.999883
853.8539,0.9776990239,14189.0618634873,-14187.4020403726,-0.999883
854.8549,0.9776887691,13998.3376573953,-13996.7020602402,-0.999883
855.8559,0.9776785252,13810.0736613803,-13808.4619464615,-0.999883
856.8569,0.977668292,13624.2398296776,-13622.6516579773,-0.999883
857.8579,0.9776580697,13440.8064559295,-13439.2414930742,-0.999884
858.8589,0.9776478581,13259.7441698024,-13258.2020860019,-0.999884
859.8599,0.9776376574,13081.0239336297,-13079.5044036175,-0.999884
860.8609,0.9776274673,12904.6170390814,-12903.1197420553,-0.999884
861.8619,0.977617288,12730.4951038592,-12729.0197234228,-0.999884
862.8629,0.9776071194,12558.630068418,-12557.1762925228,-0.999884
863.8639,0.9775969614,12388.9941927128,-12387.5617136013,-0.999884
864.8649,0.9775868141,12221.5600529716,-12220.148567121,-0.999885
865.8659,0.9775766774,12056.3005384947,-12054.909746561,-0.999885
866.8669,0.9775665513,11893.188848478,-11891.8184552411,-0.999885
867.8679,0.9775564358,11732.1984888636,-11730.8482031731,-0.999885
868.8689,0.9775463309,11573.3032692149,-11571.9728039364,-0.999885
869.8699,0.9775362365,11416.4772996174,-11415.1663715793,-0.999885
870.8709,0.9775261526,11261.6949876043,-11260.4033175458,-0.999885
871.8719,0.9775160792,11108.9310351081,-11107.6583476275,-0.999885
872.8729,0.9775060163,10958.1604354367,-10956.9064589401,-0.999886
873.8739,0.9774959639,10809.3584702745,-10808.1229369258,-0.999886
874.8749,0.9774859218,10662.5007067088,-10661.2833523798,-0.999886
875.8759,0.9774758902,10517.5629942808,-10516.3635585016,-0.999886
876.8769,0.977465869,10374.5214620606,-10373.3396879719,-0.999886
877.8779,0.9774558581,10233.3525157485,-10232.1881500529,-0.999886
878.8789,0.9774458576,10094.0328347986,-10092.8856277139,-0.999886
879.8799,0.9774358674,9956.5393695685,-9955.4090747807,-0.999886
880.8809,0.9774258875,9820.8493384928,-9819.7357131097,-0.999887
881.8819,0.9774159179,9686.9402252799,-9685.8430297859,-0.999887
882.8829,0.9774059585,9554.7897761341,-9553.7087743452,-0.999887
883.8839,0.9773960094,9424.375997001,-9423.31095602,-0.999887
884.8849,0.9773860705,9295.6771508362,-9294.6278410095,-0.999887
885.8859,0.9773761418,9168.6717548992,-9167.6379497726,-0.999887
886.8869,0.9773662233,9043.3385780689,-9042.3200543458,-0.999887
887.8879,0.9773563149,8919.6566381846,-8918.6531756828,-0.999887
888.8889,0.9773464167,8797.6051994083,-8796.616581019,-0.999888
889.8899,0.9773365286,8677.1637696119,-8676.1897812584,-0.999888
890.8909,0.9773266506,8558.3120977867,-8557.3525283837,-0.999888
891.8919,0.9773167826,8441.030171476,-8440.0848128891,-0.999888
892.8929,0.9773069247,8325.2982142301,-8324.3668612369,-0.999888
893.8939,0.9772970769,8211.0966830853,-8210.1791333356,-0.999888
894.8949,0.977287239,8098.4062660636,-8097.5023200414,-0.999888
895.8959,0.9772774111,7987.2078796969,-7986.3173406816,-0.999889
896.8969,0.9772675933,7877.482666572,-7876.6053406013,-0.999889
897.8979,0.9772577853,7769.2119928984,-7768.3476887309,-0.999889
898.8989,0.9772479873,7662.3774460982,-7661.5259751768,-0.999889
899.8999,0.9772381992,7556.9608324179,-7556.1220088335,-0.999889
900.9009,0.977228421,7452.9441745622,-7452.117815018,-0.999889
901.9019,0.9772186527,7350.3097093491,-7349.4956331251,-0.999889
902.9029,0.9772088942,7249.0398853865,-7248.2379143051,-0.999889
903.9039,0.9771991456,7149.1173607713,-7148.3273191624,-0.999889
904.9049,0.9771894067,7050.525000808,-7049.7467154755,-0.99989
905.9059,0.9771796777,6953.2458757503,-6952.4791759383,-0.99989
906.9069,0.9771699584,6857.2632585624,-6856.5079759221,-0.99989
907.9079,0.9771602489,6762.5606227019,-6761.8165912589,-0.99989
908.9089,0.9771505491,6669.121639923,-6668.3886960454,-0.99989
909.9099,0.9771408591,6576.9301781009,-6576.2081604671,-0.99989
910.9109,0.9771311787,6485.9702990762,-6485.2590486435,-0.99989
911.9119,0.977121508,6396.2262565196,-6395.5256164937,-0.99989
912.9129,0.977111847,6307.6824938176,-6306.9923096212,-0.999891
913.9139,0.9771021956,6220.3236419772,-6219.6437612204,-0.999891
914.9149,0.9770925538,6134.1345175513,-6133.4647900015,-0.999891
915.9159,0.9770829217,6049.1001205839,-6048.4403981365,-0.999891
916.9169,0.9770732991,5965.2056325744,-5964.5557692237,-0.999891
917.9179,0.977063686,5882.4364144621,-5881.7962662726,-0.999891
918.9189,0.9770540825,5800.77800463,-5800.1474297081,-0.999891
919.9199,0.9770444886,5720.2161169272,-5719.5949753932,-0.999891
920.9209,0.9770349041,5640.7366387114,-5640.1247926723,-0.999892
921.9219,0.9770253291,5562.3256289102,-5561.7229424318,-0.999892
922.9229,0.9770157636,5484.9693161001,-5484.3756551809,-0.999892
923.9239,0.9770062076,5408.6540966061,-5408.0693291505,-0.999892
924.9249,0.976996661,5333.3665326188,-5332.7905284105,-0.999892
925.9259,0.9769871238,5259.0933503296,-5258.5259810066,-0.999892
926.9269,0.9769775959,5185.8214380853,-5185.2625771139,-0.999892
927.9279,0.9769680775,5113.5378445603,-5112.98736721,-0.999892
928.9289,0.9769585684,5042.2297769465,-5041.6875602652,-0.999892
929.9299,0.9769490687,4971.8845991621,-4971.3505219518,-0.999893
930.9309,0.9769395782,4902.4898300769,-4901.9637728695,-0.999893
931.9319,0.9769300971,4834.0331417568,-4833.51498679,-0.999893
932.9329,0.9769206253,4766.5023577242,-4765.9919889183,-0.999893
933.9339,0.9769111627,4699.8854512372,-4699.3827541716,-0.999893
934.9349,0.9769017094,4634.1705435849,-4633.6754054754,-0.999893
935.9359,0.9768922653,4569.3459024008,-4568.8582120767,-0.999893
936.9369,0.9768828304,4505.3999399922,-4504.9195878744,-0.999893
937.9379,0.9768734047,4442.3212116875,-4441.8480897662,-0.999893
938.9389,0.9768639882,4380.0984141992,-4379.6324160122,-0.999894
939.9399,0.9768545809,4318.7203840044,-4318.2614046157,-0.999894
940.9409,0.9768451826,4258.1760957411,-4257.7240317198,-0.999894
941.9419,0.9768357936,4198.4546606209,-4198.0094100203,-0.999894
942.9429,0.9768264136,4139.5453248586,-4139.1067871953,-0.999894
943.9439,0.9768170427,4081.4374681166,-4081.0055443507,-0.999894
944.9449,0.9768076809,4024.1206019663,-4023.6951944811,-0.999894
945.9459,0.9767983281,3967.5843683652,-3967.1653809473,-0.999894
946.9469,0.9767889844,3911.8185381489,-3911.4058759688,-0.999895
947.9479,0.9767796496,3856.8130095395,-3856.4065791322,-0.999895
948.9489,0.9767703239,3802.5578066688,-3802.1575159152,-0.999895
949.9499,0.9767610072,3749.0430781175,-3748.6488362251,-0.999895
950.951,0.9767516994,3696.2590954687,-3695.8708129536,-0.999895
951.952,0.9767424006,3644.1962518772,-3643.8138405453,-0.999895
952.953,0.9767331108,3592.845060653,-3592.4684335825,-0.999895
953.954,0.9767238298,3542.1961538602,-3541.8252253836,-0.999895
954.955,0.9767145577,3492.2402809304,-3491.874966617,-0.999895
955.956,0.9767052945,3442.9683072904,-3442.6085239288,-0.999896
956.957,0.9766960402,3394.3712130043,-3394.0168785858,-0.999896
957.958,0.9766867948,3346.4400914304,-3346.0911251317,-0.999896
958.959,0.9766775581,3299.1661478915,-3298.8224700585,-0.999896
959.96,0.9766683303,3252.54069836,-3252.202230491,-0.999896
960.961,0.9766591113,3206.5551681564,-3206.2218328862,-0.999896
961.962,0.976649901,3161.2010906616,-3160.8728117455,-0.999896
962.963,0.9766406995,3116.4701060433,-3116.1468083414,-0.999896
963.964,0.9766315068,3072.3539599956,-3072.0355694572,-0.999896
964.965,0.9766223228,3028.8445024919,-3028.5309461402,-0.999896
965.966,0.9766131475,2985.9336865517,-2985.6248924688,-0.999897
966.967,0.9766039809,2943.6135670199,-2943.3094643318,-0.999897
967.968,0.976594823,2901.8762993599,-2901.5768182216,-0.999897
968.969,0.9765856738,2860.7141384587,-2860.4192100403,-0.999897
969.97,0.9765765332,2820.119437446,-2819.8289939179,-0.999897
970.971,0.9765674012,2780.0846465252,-2779.7986210441,-0.999897
971.972,0.9765582779,2740.6023118174,-2740.3206385122,-0.999897
972.973,0.9765491631,2701.6650742175,-2701.3876881761,-0.999897
973.974,0.976540057,2663.2656682633,-2662.9925055185,-0.999897
974.975,0.9765309594,2625.3969210163,-2625.1279185328,-0.999898
975.976,0.9765218703,2588.0517509552,-2587.7868466162,-0.999898
976.977,0.9765127898,2551.2231668807,-2550.9622994751,-0.999898
977.978,0.9765037178,2514.9042668331,-2514.6473760426,-0.999898
978.979,0.9764946544,2479.0882370214,-2478.8352634077,-0.999898
979.98,0.9764855994,2443.7683507635,-2443.519235756,-0.999898
980.981,0.9764765528,2408.937967439,-2408.6926533225,-0.999898
981.982,0.9764675148,2374.5905314531,-2374.3489613557,-0.999898
982.983,0.9764584852,2340.7195712117,-2340.4816890926,-0.999898
983.984,0.976449464,2307.3186981077,-2307.0844487458,-0.999898
984.985,0.9764404512,2274.3816055194,-2274.1509345011,-0.999899
985.986,0.9764314468,2241.9020678186,-2241.6749215268,-0.999899
986.987,0.9764224508,2209.8739393907,-2209.6502649933,-0.999899
987.988,0.9764134631,2178.2911536653,-2178.0708991041,-0.999899
988.989,0.9764044838,2147.1477221577,-2146.9308361371,-0.999899
989.99,0.9763955129,2116.4377335206,-2116.2241654973,-0.999899
990.991,0.9763865502,2086.1553526073,-2085.9450527789,-0.999899
991.992,0.9763775959,2056.2948195442,-2056.087738839,-0.999899
992.993,0.9763686498,2026.8504488146,-2026.6465388813,-0.999899
993.994,0.976359712,1997.816628352,-1997.6158415492,-0.999899
994.995,0.9763507825,1969.1878186444,-1968.9901080306,-0.9999
995.996,0.9763418612,1940.958551848,-1940.7638711713,-0.9999
996.997,0.9763329481,1913.1234309109,-1912.9317345995,-0.9999
997.998,0.9763240433,1885.6771287069,-1885.4883718592,-0.9999
998.999,0.9763151466,1858.614387179,-1858.4285255543,-0.9999
1000.0,0.9763062581,1831.9300164928,-1831.7470065012,-0.9999
